,سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,مسجل,CD,مُكيّف,إغلاق مركزي,وسادة هوائية,جنطات مغنيسيوم,جهاز إنذار,فرش جلد,فتحة سقف
3651,40000,بيجو,407,2017,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,250000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,0,1,1,1,1,0,1
3652,40000,فورد,فيستا,2012,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,0,0,0
3653,55000,ايسوزو,تروبر,2000,ذهبي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,200000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,0
3654,459000,جييب,sofa,2018,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,13000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,1
3655,20000,بيجو,205,1999,أبيض ,بنزين ,حكومي ,فلسطينية ,عادي ,الكتروني ,1400,,5,نقدا فقط ,للبيع فقط ,3,0,0,0,0,0,0,0,0,0
3656,23000,اوبل,استرا,1996,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,100000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,0,1,1,1,1,0,0
3657,21000,مرسيدس,220,2000,أخضر ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,,5,نقدا فقط ,للبيع فقط ,0,1,1,0,1,1,1,0,1,0
3658,43000,كيا,برايد,2008,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,170000.0,5,نقدا فقط ,للتبديل فقط ,2,1,1,1,1,1,1,1,1,0
3659,50000,سكودا,اوكتافيا,2006,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,5,إمكانية التقسيط ,للبيع أو التبديل ,1,0,0,0,1,0,1,0,0,0
3660,139000,فولكسفاجن,GTI,2017,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,45000.0,5,نقدا فقط ,للبيع أو التبديل ,2,0,0,1,1,1,1,1,1,1
3661,135500,فولكسفاجن,تيجوان,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,62000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
3662,38500,اوبل,كورسا,2009,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,127000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,0,0
3663,38000,اوبل,استرا,2006,كرميدي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,1,1,1,1,1,1,0,0,1
3664,32000,فورد,فوكس,2012,برتقالي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,5,نقدا فقط ,للبيع فقط ,6,1,1,1,1,1,1,1,0,0
3665,50000,سكودا,اوكتافيا,2010,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,0
3666,35000,هونداي,افانتي,2005,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,13000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,0,0
3667,105000,فولكسفاجن,جولف,2016,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,38000.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,0,1
3668,50500,كيا,بيكانتو,2016,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1250,4444.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,0,1,0,0
3669,36000,فورد,فيستا,2018,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1250,125000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,0,0,1,1,1,1,0,0,0
3670,105000,هونداي,سانتافيه,2014,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,7,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
3671,37000,هوندا,سيفيك,2007,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
3672,75000,ستروين,بيرلينجو,2016,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,130000.0,5,إمكانية التقسيط ,للبيع فقط ,1,0,0,1,1,1,0,1,0,0
3673,35000,هونداي,افانتي,2005,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,5,إمكانية التقسيط ,للبيع أو التبديل ,1,0,0,1,1,1,1,1,1,0
3674,22000,اوبل,استرا,1999,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,220000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,5,1,1,1,0,1,1,1,1,1
3675,40000,أفيكو,ديلي,2010,أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,3000,450000.0,3,إمكانية التقسيط ,للبيع فقط ,1,0,0,0,0,0,0,0,0,0
3676,76000,سكودا,اوكتافيا,2015,بني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,65000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,1
3677,105000,فولكسفاجن,كادي,2019,عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,0.0,7,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,0,1,0,0
3678,93000,فولكسفاجن,جولف,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,88000.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,0
3679,60000,اوبل,كورسا,2017,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,58000.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,0,0,0
3680,60000,كيا,سيراتو,2014,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,0,0,1
3681,80000,فولكسفاجن,كادي,2013,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,7,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,0
3682,50000,فورد,ترانزيت,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2000,,9,نقدا فقط ,للبيع فقط ,0,0,0,0,0,0,0,0,0,0
3683,129000,فولكسفاجن,ترانسبورتر,2015,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2000,,9,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,0,1,0,0
3684,27000,شفروليه,اوبترا,2007,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,142000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,0,1,0,0
3685,52000,سكودا,اوكتافيا,2007,أسود ميتالك ,ديزل ,عمومي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,320000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,0
3686,60000,ستروين,بيرلينجو,2016,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,55000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,0,0
3687,32000,اوبل,استرا,1998,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,298000.0,5,نقدا فقط ,للبيع فقط ,3,0,0,1,1,1,0,0,0,0
3688,25000,اوبل,فيكترا,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5,إمكانية التقسيط ,للبيع أو التبديل ,0,0,0,0,0,0,0,0,0,0
3689,80000,فولكسفاجن,جولف,2013,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,156000.0,5,نقدا فقط ,للبيع أو التبديل ,7,1,1,1,1,1,1,1,0,0
3690,43000,هونداي,i30,2008,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,14000.0,5,نقدا فقط ,للبيع فقط ,4,1,1,1,1,1,1,1,1,1
3691,58000,سكودا,فابيا,2015,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,0,1,1,0
3692,36000,بيجو,206+,2012,أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,0
3693,150000,بي,ام,2008,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,,5,نقدا فقط ,للبيع أو التبديل ,7,1,1,1,1,1,1,1,1,1
3694,60000,سكودا,اوكتافيا,2014,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600,350000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,1
3695,38000,اوبل,كورسا,2008,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,8580050.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,0,0,0
3696,190000,تويوتا,لاند,2008,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,145000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
3697,60000,أفيكو,ديلي,2010,أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,3000,0.0,3,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,0,0,0,0
