Price,Brand,Model,Year,Color,Fuel_Type,Vehicle_History,Palestinian_Licence,Transmission_Type,Electric_Windows,Engine_Capacity,Kilometers_Driven,Seats,Installment_Payment_Method,Listed_For,Previous_Owners,Radio,Air_Conditioner,Central_Lock,Airbag,Magnesium_Rims,Alert_System,Leather_Seats,Sunroof,Kilometers_Driven_ZScore,Previous_Owners_Ranges,Previous_Owners_Labels
40000,بي,ام,1992,أسود ,بنزين ,خصوصي ,1,عادي ,1,2000,319399.0,5,1,للبيع أو التبديل ,9,1,1,1,1,1,1,1,1,0.683324098642206,[5+),3
50000,سكودا,اوكتافيا,2013,أصفر ,ديزل ,عمومي ,1,عادي ,1,1600,300000.0,5,0,للبيع فقط ,1,1,1,1,1,1,0,1,1,0.579150743053791,[0-2],1
105000,فولكسفاجن,جولف,2017,فيراني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,30000.0,5,0,للبيع أو التبديل ,1,1,1,0,1,1,1,1,1,-0.8707593558622369,[0-2],1
75000,سيت,ليون,2015,أزرق ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,64000.0,5,0,للبيع أو التبديل ,1,1,1,1,1,1,1,0,0,-0.6881780841468852,[0-2],1
33000,بيجو,207,2011,رمادي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,123638.0,5,0,للبيع فقط ,2,1,1,1,1,1,1,1,0,-0.3679197934833516,[0-2],1
62000,سكودا,رابيد,2014,أزرق ,ديزل ,خصوصي ,1,عادي ,1,1600,140000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.2800552414890403,[0-2],1
65000,سيت,ليون,2008,أحمر ,بنزين ,خصوصي ,1,عادي ,1,2000,154548.0,5,1,للبيع أو التبديل ,1,1,1,1,1,1,1,0,1,-0.20193193734448336,[0-2],1
48000,فولكسفاجن,بولو,2011,أحمر ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,123638.0,5,0,للبيع فقط ,1,0,0,0,0,0,0,0,0,-0.3679197934833516,[0-2],1
25000,مرسيدس,فيتو,2001,أبيض ,ديزل ,عمومي ,1,عادي ,1,2200,498075.0,9,0,للبيع أو التبديل ,2,1,1,1,1,1,0,1,0,1.642820901730799,[0-2],1
48000,كيا,بيكانتو,2018,بيج ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1100,30000.0,5,0,للبيع فقط ,0,0,1,1,1,1,1,1,0,-0.8707593558622369,[0-2],1
48000,بي,ام,2002,رصاصي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2500,160000.0,5,1,للبيع فقط ,2,1,1,1,1,1,1,1,1,-0.17265449342118638,[0-2],1
32000,اوبل,كورسا,2008,أحمر ,بنزين ,خصوصي ,1,عادي ,1,1400,172000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,0,1,-0.10821404458047404,[0-2],1
45000,سكودا,citigo,2013,أبيض عاجي ,بنزين ,خصوصي ,1,نصف اوتوماتيك ,1,1000,103032.0,5,0,للبيع فقط ,2,1,1,1,1,1,1,0,0,-0.4785747842176615,[0-2],1
24000,فولكسفاجن,جولف,1997,أخضر ,بنزين ,خصوصي ,1,عادي ,1,1600,216578.0,5,1,للبيع أو التبديل ,2,1,1,1,1,1,0,0,0,0.13117148278796556,[0-2],1
93000,فولكسفاجن,جولف,2016,فيراني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,70000.0,5,1,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,-0.655957859726529,[0-2],1
169000,سكودا,كودياك,2017,أسود ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,125000.0,7,0,للبيع فقط ,0,1,1,1,1,1,1,0,0,-0.36060580253993074,[0-2],1
32000,بيجو,308,2011,خمري ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,80000.0,5,0,للبيع فقط ,1,1,1,1,0,0,0,0,0,-0.6022574856926021,[0-2],1
64000,كيا,برايد,2018,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,37000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.8331690940384879,[0-2],1
55000,كيا,برايد,2015,أحمر ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,81000.0,5,0,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,-0.5968874482892094,[0-2],1
32000,هونداي,جيتس,2009,سكني ,بنزين ,حكومي ,1,عادي ,1,1400,144244.0,5,1,للبيع أو التبديل ,1,1,1,1,1,0,1,0,0,-0.2572648027490417,[0-2],1
93000,كيا,سبورتاج,2016,رصاصي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,59000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.7150282711638487,[0-2],1
90000,فورد,كوجا,2013,فيراني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,170000.0,5,1,للبيع فقط ,1,1,1,1,1,1,1,1,1,-0.11895411938725943,[0-2],1
65000,سيت,ابيزا,2015,خمري ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,82000.0,5,0,للبيع فقط ,4,1,1,1,1,1,1,0,1,-0.5915174108858167,[3-4],2
58000,فولكسفاجن,بولو,2017,أزرق سماوي ,بنزين ,خصوصي ,1,عادي ,1,1200,50000.0,5,1,للبيع أو التبديل ,0,1,1,1,0,1,1,0,0,-0.7633586077943829,[0-2],1
66500,سيت,ليون,2016,فضي ,بنزين ,خصوصي ,1,عادي ,1,1200,72122.0,5,0,للبيع أو التبديل ,0,0,1,1,0,1,0,0,0,-0.6445626403565298,[0-2],1
95000,كيا,سبورتاج,2016,بترولي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,1700,115000.0,6,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.4143061765738577,[0-2],1
66000,فولكسفاجن,جولف,2010,أحمر ,بنزين ,خصوصي ,1,عادي ,1,1600,100000.0,5,0,للبيع فقط ,5,1,1,1,1,1,1,0,0,-0.49485673762474813,[5+),3
35000,هونداي,افانتي,2006,سكني ,بنزين ,خصوصي ,1,عادي ,1,1600,143000.0,5,1,للبيع فقط ,4,1,1,1,1,1,1,1,1,-0.2639451292788622,[3-4],2
25500,شفروليه,اوبترا,2006,أبيض عاجي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,117000.0,5,0,للبيع فقط ,1,0,1,1,1,1,0,0,0,-0.4035661017670723,[0-2],1
57000,سيت,ابيزا,2017,فيراني ,بنزين ,خصوصي ,1,عادي ,1,1200,68000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.6666979345333144,[0-2],1
45000,هوندا,سيفيك,2008,ذهبي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1800,160000.0,5,0,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,-0.17265449342118638,[3-4],2
65000,فولكسفاجن,باسات,2011,رمادي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,47900.0,5,1,للبيع أو التبديل ,2,1,1,1,1,1,1,1,0,-0.7746356863415076,[0-2],1
35000,هوندا,سيفيك,2008,أزرق ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1800,150000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,0,-0.22635486745511335,[0-2],1
99000,كيا,سبورتاج,2015,سكني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,54000.0,5,0,للبيع فقط ,2,1,1,1,1,1,1,1,0,-0.7418784581808121,[0-2],1
65000,فولكسفاجن,كادي,2008,فيراني ,ديزل ,خصوصي ,1,عادي ,1,1900,339597.0,7,0,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0.7917881141159316,[0-2],1
33000,كيا,ماجنتيس,2009,أسود ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,177000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,0,-0.08136385756351056,[0-2],1
120000,كيا,سبورتاج,2018,عدة الوان ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,60000.0,5,1,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,-0.709658233760456,[0-2],1
