سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,مسجل,CD,مُكيّف,إغلاق مركزي,وسادة هوائية,جنطات مغنيسيوم,جهاز إنذار,فرش جلد,فتحة سقف
14000,اوبل,اسكونا,1982,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,844862.0,5,نقدا فقط ,للبيع فقط ,4,1,1,0,1,0,0,1,0,0
45000,سوبارو,امبريزا,2005,أبيض ,بنزين ,تدريب سياقة ,فلسطينية ,عادي ,الكتروني ,1600,133000.0,5,نقدا فقط ,للبيع فقط ,4,1,1,1,1,1,1,1,0,0
53000,هوندا,سيفيك,2008,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,154548.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,0,1,1,1,0
15000,فورد,ترانزيت,1992,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,يدوي ,2500,701833.0,8,نقدا فقط ,للبيع فقط ,6,1,1,0,0,0,0,0,0,0
125000,فولكسفاجن,CC,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,95000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,1
18500,سوبارو,عريض,1992,أبيض عاجي ,بنزين ,عمومي ,فلسطينية ,عادي ,يدوي ,1600,75000.0,5,نقدا فقط ,للبيع فقط ,7,1,1,0,0,0,1,0,0,0
98000,سكودا,اوكتافيا,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,181118.0,5,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,0,0,1,1,0,0
95000,فولكسفاجن,كادي,2014,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,203758.0,7,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,1,0,1,0
48500,فيات,باندا,2015,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,82425.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,0,0,0,0,0,0,0,0,0
98000,كيا,سبورتاج,2016,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,98000.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,1
77000,بيجو,بارتنر,2016,بترولي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,72000.0,5,نقدا فقط ,للبيع فقط ,0,0,0,0,0,0,0,0,0,0
42000,اوبل,استرا,2004,أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
220000,مرسيدس,350,2011,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,339091.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
2500,سوبارو,امبريزا,2001,أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,300000.0,5,نقدا فقط ,للبيع أو التبديل ,2,0,0,1,1,1,0,0,0,0
47000,بي,ام,1997,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1800,267883.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
49000,كيا,بيكانتو,2015,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,25000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,0,0,0
62000,فولكسفاجن,جيتا,2008,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,19000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0
50000,هوندا,توسان,2007,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,150000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,0,1,1
71000,كيا,برايد,2015,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,11467.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
42000,هونداي,i30,2008,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,120000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
43000,فورد,فيستا,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,35000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,0,1,0,0
40000,هونداي,كليك,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,100000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,1
30000,فولكسفاجن,كادي,2000,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,520715.0,5,نقدا فقط ,للبيع أو التبديل ,2,0,0,0,0,0,1,0,0,0
14000,دايو,ماتيز,2002,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,120000.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,0,1,1,0
36500,اوبل,استرا,2000,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,180000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,0,1,0,0,0
42000,هونداي,افانتي,2006,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,175154.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
42000,كيا,برايد,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,160000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,1,1,0
33000,كيا,ريو,2010,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500,294317.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,0
34500,اودي,A4,1997,رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1800,267883.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,0,1,1,1,1,0,1
90000,كيا,سيراتو,2017,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,44000.0,5,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,1
62000,اوبل,استرا,2014,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
75000,فولكسفاجن,كبينة,1983,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,1900,75000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,0,0,0,0,0,1,0
33000,مرسيدس,250,1999,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,44000.0,5,إمكانية التقسيط ,للبيع فقط ,3,1,1,1,1,1,1,1,1,0
65000,مرسيدس,e270,2002,كحلي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2700,593409.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
95000,سكودا,اوكتافيا,2016,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,50000.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,1
42999,هونداي,فيرنا,2007,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,164851.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,0
55000,اوبل,كورسا,2012,كرميدي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,100000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,0,1,1
40000,هونداي,اكسنت,2007,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,123000.0,5,إمكانية التقسيط ,للبيع فقط ,4,1,1,1,0,0,0,0,1,0
45000,فولكسفاجن,كرافيل,1998,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,556677.0,8,إمكانية التقسيط ,للبيع أو التبديل ,10,1,1,0,0,0,1,1,1,0
25000,بي,ام,1987,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,741830.0,5,إمكانية التقسيط ,للتبديل فقط ,5,1,1,0,1,1,1,1,1,0
16800,مرسيدس,باص,2012,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2996,33360.0,10,نقدا فقط ,للبيع فقط ,1,1,1,1,1,0,1,1,1,1
50000,سيت,ابيزا,2011,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,123638.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,0,1,0
25000,مرسيدس,280,1983,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2800,997920.0,5,نقدا فقط ,للبيع فقط ,4,1,1,1,0,0,1,1,1,1
107000,فولكسفاجن,كادي,2015,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,181118.0,7,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,0,1,0,0
160000,اودي,Q5,2013,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,226397.0,5,إمكانية التقسيط ,للبيع فقط ,1,0,0,0,0,0,0,0,0,0
128000,ميتسوبيشي,باجيرو,2008,ذهبي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3200,423864.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
32000,هونداي,الانترا,2005,أبيض ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,32000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,0,1
23000,بيجو,205,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,247276.0,5,نقدا فقط ,للبيع فقط ,7,1,1,1,1,1,1,1,0,1
100000,فورد,فوكس,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,92728.0,4,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
35000,ميتسوبيشي,لانسر,2000,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,10000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,0
78000,فولكسفاجن,كادي,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,216560.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,0,0,0,1,0
42000,فولكسفاجن,جولف,2000,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,236973.0,5,نقدا فقط ,للبيع فقط ,2,1,1,0,0,0,1,0,1,0
43000,سكودا,اوكتافيا,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,520715.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,0,0,0
58000,ستروين,بيرلينجو,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,339597.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,1,0
58000,فولكسفاجن,جولف,2008,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,154548.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,0
11000,سوبارو,نملة,1983,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,824256.0,5,نقدا فقط ,للبيع فقط ,4,0,0,0,0,0,0,0,0,0
7000,رينو,R9,1982,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,844862.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,1,1,0,0,1,1,0
77000,كيا,سيراتو,2014,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,39000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,1
78500,فولكسفاجن,توران,2009,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,316957.0,7,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,0,1,0,0,0
102000,كيا,اوبتيما,2013,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,50000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
158000,بي,ام,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,67000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
97000,سكودا,اوكتافيا,2015,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,80000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,0
17000,دايو,ماتيز,2002,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,100000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,0,0
55000,اوبل,كورسا,2014,فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,75000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,0,0,0
36500,كيا,ريو,2010,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500,294317.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,0,1,1,0,0
98000,فولكسفاجن,CC,2011,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,200000.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
30000,سيت,قرطبة,2004,أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,430156.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,0,0,0,0,0,0,0,0,0
39000,هونداي,اكسنت,2007,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,200000.0,5,نقدا فقط ,للبيع أو التبديل ,4,1,1,1,1,0,0,0,0,0
4200,فولكسفاجن,بورا,2003,أحمر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1950,452795.0,5,نقدا فقط ,للبيع فقط ,4,1,1,1,1,1,1,1,0,0
76000,فولكسفاجن,كادي,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,350000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,0,0,1,0
72000,هونداي,سانتافيه,2007,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,362236.0,7,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
33000,فولكسفاجن,باسات,2000,سكني ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900,120000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,5,1,1,1,1,1,1,1,0,1
95000,هونداي,توسان,2013,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,58700.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
33000,كيا,مورننغ,2015,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,36000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,1
89000,ميتسوبيشي,اوت,2008,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2400,92000.0,7,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,0,0,0
36000,هونداي,فيرنا,2007,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,164851.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
85000,كيا,اوبتيما,2013,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,50000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
37000,شفروليه,اوبترا,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,105000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,0,0,0,0,0,0,0,0,0
53000,بيجو,بارتنر,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,339597.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,1,1,1,0,1,1,0
115000,كيا,سبورتاج,2016,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,48000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,1
78000,هونداي,توسان,2011,رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,140000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
45000,كيا,سييد,2009,رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,190000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0
40000,فولكسفاجن,بولو,2006,أخضر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,114000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,0,0,0
43500,كيا,سيراتو,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,95000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,0
49000,هونداي,i30,2008,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,98000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
95000,هونداي,توسان,2014,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,180000.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
75000,فولكسفاجن,توران,2008,أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,250000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
42000,سكودا,اوكتافيا,2002,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,9977.0,5,إمكانية التقسيط ,للبيع فقط ,3,1,1,1,1,1,1,1,1,1
55000,ستروين,بيرلينجو,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,339597.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,0,0,0
39500,اودي,A4,2002,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,300000.0,5,نقدا فقط ,للبيع فقط ,4,1,1,0,1,1,1,0,0,0
6500,اوبل,اسكونا,1983,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,824256.0,5,نقدا فقط ,للبيع فقط ,4,0,0,0,0,0,0,0,0,0
38000,فيات,باندا,2010,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,144000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,0,1,1,0,0
80000,هونداي,i30,2012,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,120000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
56000,فورد,فوكس,2012,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,106000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,0,0,0,0,0,0,0,0,0
58000,هونداي,توسان,2007,أسود ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,362236.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
41000,كيا,سيراتو,2007,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,164851.0,5,نقدا فقط ,للبيع أو التبديل ,4,1,1,1,1,1,1,1,1,0
69000,مرسيدس,C180,2005,زيتي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,185457.0,5,نقدا فقط ,للبيع فقط ,1,0,0,1,1,1,1,1,1,1
108000,هونداي,توسان,2016,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,50000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,0
70000,ستروين,بيرلينجو,2013,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,152000.0,5,إمكانية التقسيط ,للبيع فقط ,4,1,1,1,1,1,0,1,0,0
43000,سيت,ابيزا,2010,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,133941.0,5,نقدا فقط ,للبيع فقط ,1,0,0,1,0,1,0,0,1,0
158000,كيا,سورينتو,2016,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,60000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,0,1
60000,هونداي,اكسنت,2013,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,47000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
30000,سيت,توليدو,2006,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,384876.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,1,1,1,1,0,0,0
47000,مرسيدس,220,2006,أبيض ,ديزل ,عمومي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2200,350000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,0,1,1,1,1,1,0
15000,فيات,ريجاتا,1988,بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,721224.0,5,نقدا فقط ,للبيع فقط ,3,0,0,0,0,0,0,0,0,0
12000,رينو,R9,1986,أبيض ,بنزين ,تدريب سياقة ,فلسطينية ,عادي ,يدوي ,1250,75458.0,5,إمكانية التقسيط ,للبيع فقط ,5,0,0,0,0,0,0,0,0,0
45000,سكودا,فابيا,2012,فيراني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600,249037.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,0,0,1,0
130000,ميتسوبيشي,باجيرو,2008,أزرق ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3200,200000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
130000,بي,ام,2013,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,19000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
51000,فولكسفاجن,بولو,2008,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,97000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,1,0,0
47000,كيا,ريو,2012,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1400,360000.0,5,نقدا فقط ,للبيع فقط ,5,1,1,1,1,1,1,0,1,0
25000,فولكسفاجن,كبينة,1986,أبيض عاجي ,بنزين ,تجاري ,فلسطينية ,عادي ,يدوي ,1900,762436.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,0,0,0,0,0,0,0,0,0
89000,مازدا,3,2015,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500,60000.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,0,0,0
30000,اوبل,فيكترا,2003,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,206064.0,5,إمكانية التقسيط ,للبيع فقط ,2,0,0,1,1,0,1,0,0,1
60000,سكودا,فابيا,2011,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,162000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,0,0
60000,مرسيدس,6,1979,أخضر ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,3000,2486668.0,3,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,0,0,0,0,0,1,0
30000,اوبل,كورسا,2003,رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,206064.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,0,0,0,0
45000,سكودا,اوكتافيا,2007,أسود ميتالك ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900,362236.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
320000,لاندروفر,ديسكفري,2016,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,14000.0,7,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
59000,بيجو,بارتنر,2011,أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,200000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,0,0,1,1,1,0,1,0,0
99000,سكودا,اوكتافيا,2016,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,92000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,0
70000,فولكسفاجن,جولف,2011,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,5600000000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,0,0,0
160000,مرسيدس,2007,2007,رصاصي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,3500,200000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,1
50000,سيت,ابيزا,2012,فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,82000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,0,0,0
75000,مرسيدس,412,1996,بيج ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,2500,611274.0,7,نقدا فقط ,للبيع أو التبديل ,4,1,1,1,1,0,0,0,0,0
7200,اوبل,اسكونا,1984,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,803649.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,0,1,0,0,0
