سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,مسجل,CD,مُكيّف,إغلاق مركزي,وسادة هوائية,جنطات مغنيسيوم,جهاز إنذار,فرش جلد,فتحة سقف
2600,هوندا,اكورد,1997,ذهبي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1800,210000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,0,1,1
1800,اوبل,اسكونا,1967,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1200,1000.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,0,0,0,1,0,0,0
77000,هونداي,سانتافيه,2008,أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,20000.0,7,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,0,1,1,1
20000,هونداي,الانترا,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,247276.0,5,نقدا فقط ,للبيع فقط ,2,1,1,0,1,1,1,0,1,0
61000,هونداي,i30,2010,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,113000.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,0,1,1,1,1,0
47000,فورد,فيستا,2014,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,33000.0,5,نقدا فقط ,للتبديل فقط ,0,1,1,1,1,1,0,1,0,0
93000,هونداي,توسان,2014,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,203758.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,0
71000,سكودا,رابيد,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,203758.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,0,0,0,1,0,0
110000,هونداي,i40,2011,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,123638.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
90000,سكودا,اوكتافيا,2014,عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,203758.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,0,1,1,0,0
67000,كيا,فورتي,2011,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,122000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,0,1,1
17500,اوبل,كاديت,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1300,844862.0,5,نقدا فقط ,للبيع فقط ,4,1,1,0,1,0,1,1,0,0
67000,هونداي,اكسنت,2016,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,22000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,0
60000,فولكسفاجن,بولو,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,113335.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,0,1,0,0
95000,فولكسفاجن,كادي,2011,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,271677.0,7,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,0,1,0
30000,دايو,لانوس,1999,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1500,247276.0,5,نقدا فقط ,للبيع فقط ,3,0,0,0,0,0,0,0,0,0
115000,فولكسفاجن,كادي,2012,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,7,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
109000,هونداي,توسان,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,29000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,0,1,1,0
